model,conflict_type_idx,sample_id,non_thinking_behavior_judge_model,non_thinking_constraint_judge_model,non_thinking_behavior_label,non_thinking_constraint_label,non_thinking_behavior_label_name,non_thinking_constraint_label_name,thinking_behavior_judge_model,thinking_constraint_judge_model,thinking_behavior_label,thinking_constraint_label,thinking_behavior_label_name,thinking_constraint_label_name,constraint_switched,behavior_switched
Qwen/Qwen3.5-4B,1,1,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,2,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,3,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,4,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,5,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,6,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,7,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,8,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,9,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,10,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,11,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,12,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,13,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,14,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,15,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,16,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,17,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,18,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,19,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,20,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,21,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,22,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,23,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,24,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,2.0,,org_constraint,True,False
Qwen/Qwen3.5-4B,1,25,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,26,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
