layer,comparison,label_a,label_b,label_a_name,label_b_name,n_pair,n_label_a,n_label_b,silhouette,centroid_separation_ratio,knn_n_splits,knn_balanced_accuracy_mean,knn_balanced_accuracy_std
0,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.0010544093092903495,0.42963517753159247,5,0.5,0.0
0,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.006116067059338093,0.19506905134854718,5,0.493190836940837,0.011225597961377103
1,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,-0.0013841806212440133,0.4440267861738587,5,0.5,0.0
1,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.007663131691515446,0.1821984888074761,5,0.4954628704628705,0.015017694033230097
2,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,-0.005734446458518505,0.43125471457870246,5,0.5,0.0
2,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.005102069117128849,0.17926800459020714,5,0.4961524586524587,0.01929351088361713
3,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.10407774895429611,0.4242902438933052,5,0.5,0.0
3,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,0.004275877494364977,0.18006392362616266,5,0.4904179154179154,0.006828958837142673
4,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.07916402816772461,0.46528403920907263,5,0.5,0.0
4,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,0.0016641494585201144,0.1878073722220618,5,0.4961670274170274,0.017264656821772112
5,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.08888474851846695,0.473199210124002,5,0.5,0.0
5,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,0.0009537708247080445,0.189585867566942,5,0.49189629814629815,0.010172052685419897
6,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.09697231650352478,0.483508221101705,5,0.5,0.0
6,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,0.00010326407209504396,0.18952727426923438,5,0.4911969974469975,0.010460966390711169
7,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.09296189993619919,0.4954178446882191,5,0.5,0.0
7,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.0011731005506590009,0.16916734532959168,5,0.4898081085581086,0.01318886404096728
8,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.07367555052042007,0.5103846790251118,5,0.5,0.0
8,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.0029155185911804438,0.16796628206089656,5,0.49128649128649127,0.011798744778693481
9,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.07994326204061508,0.5051459035353069,5,0.5,0.0
9,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.0046720923855900764,0.1650145071848638,5,0.4919809357309357,0.011554123722026405
10,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.08233475685119629,0.5090690500028694,5,0.5,0.0
10,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.006419836543500423,0.1629117879011015,5,0.49268023643023645,0.012020998151877328
11,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.05762312188744545,0.4192405220342334,5,0.5,0.0
11,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.0025101250503212214,0.1638282724368147,5,0.4877150627150627,0.008854237193493628
12,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.049840956926345825,0.41604488290057395,5,0.5,0.0
